Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
2013-05-11,Unknown,Holiday,General Elections,Evening,Karachi,24.9918,66.9911,Sindh,Manghopir,Military,Medium,Open,None,Military,None,2.0,2.0,3.0,5,1.0,0 Kg,Unknown,30.64,87.152,2013.0,5.0,Saturday,2,1,-1
2013-05-12,Unknown,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Baluchistan,Residence IG Police province of Balochistan,Police,High,Open,None,Police,None,6.0,7.0,45.0,68,1.0,0 Kg,Civil Hospital,23.635,74.543,2013.0,5.0,Sunday,4,1,-1
2013-05-24,Unknown,Working Day,No Info,Noon,Peshawar,34.0043,71.5448,KPK,Outside Jamia Uloom al-Islamia Peshawar,Religious,High,Open,Afghan Religious Leader Haji Hidayatullah,religious,None,3.0,3.0,2.0,2,1.0,6kg,Unknown,34.725,94.505,2013.0,5.0,Friday,2,1,-1
,Unknown,Working Day,No Info,Unknown,North waziristan,32.9746,70.1456,FATA,Razmak town 20kms to the north of Miramshah,Military,High,Open,Security Checkpost,Military,None,0.0,15.253138075313808,2.0,2,1.0,0 Kg,Unknown,21.715,71.087,,,,2,1,6
,Unknown,Working Day,No Info,Noon,Quetta,30.2095,67.0182,Baluchistan,Parking of Sardar Bahadur Khan University-Quetta,Educational,Low,Open,None,civilian,None,12.0,14.0,19.0,19,1.0,0 Kg,Bolan Medical Complex Quetta,29.55,85.19,,,,4,1,-1
,Unknown,Working Day,No Info,Noon,Quetta,30.2095,67.0182,Baluchistan,Bolan Medical Complex,Hospital,Low,Closed,Security officials visiting victims of suicide attack on student bus of Sarda Bahdur Khan Women Univrsity ,Police,None,11.0,11.0,0.0,0,1.0,0 Kg,Bolan Medical Complex Quetta,29.55,85.19,,,,2,1,-1
,Unknown,Working Day,No Info,4pm,Mardan,34.1982,72.0444,KPK,Zaragaranoo Kallay-Ittehad Colony Mardan,Park/Ground,Low,Open,Police officials argue that Imran Khan Mohmand-a provincial lawmaker seems to have been the target,civilian,None,27.0,34.0,52.0,60,1.0,7-8kg, Tehsil Headquarters Takht Bhai-Mardan Medical Complex and Lady Reading Hospital in Peshawar,27.465,81.437,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Gulshan Colony,Religious,High,Closed,Sectarian strife,Civilian,Shiite,14.0,15.0,28.0,30,1.0,6-7Kg,Lady Reading Hospital,35.0,95.0,,,,4,1,-1
,Unknown,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Baluchistan,Hazara Town,Religious,High,Open,Sectarian strife,Civilian,Shiite,28.0,30.0,65.0,70,1.0,0 Kg,Bolan Medical Complex Quetta-CMH-Civil Hospital,30.915,87.647,,,,1,1,-1
,Unknown,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,Doaba Bazaar,Market,High,Open,Tribal elder Malik Habibullah Khan was the target,Civilian,None,6.0,8.0,10.0,10,1.0,0 Kg,Unknown,30.72,87.296,,,,2,1,-1
,Unknown,Working Day,No Info,Evening,Sukkur,27.6833,68.8667,Sindh,Sukkur Barrage Colony,Police,Low,Open,Coordinated assault on ISI sukkur office building,Military,None,8.0,9.0,30.0,30,2.0,0 Kg,Unknown,36.345,97.421,,,,4,-1,-1
,Unknown,Working Day,No Info,Evening,Kuram Agency ,32.9746,70.1456,KPK,Parachinar Bazaar,Market,High,Open,None,Civilian,Shiite,43.0,50.0,180.0,200,2.0,0 Kg,Parachinar Headquarters Hospital,26.015,78.827,,,,3,-1,-1
,Unknown,Holiday,Eid Holidays,Unknown,Quetta,30.2095,67.0182,Baluchistan,Police Headquarters Quetta,Police,High,Open,Gathering on Funeral prayers of SHO City Mohibullah who was shot dead earlier in the day,Police,None,30.0,38.0,50.0,60,1.0,8kg,Civil Hospital and CMH Quetta,31.06,87.908,,,,4,1,-1
,Unknown,Holiday,No Info,Unknown,Peshawar,34.0043,71.5448,KPK, All Saints Church near Qissa Khawani bazaar in  Peshawar,Religious,High,Open,Two suicide attackers blew themselves up outside a church near Qissa Khawani bazaar,Civilian,None,78.0,81.0,100.0,145,2.0,0 Kg,Lady Reading Hospital,29.84,85.712,,,,1,-1,-1
,Unknown,Working Day,No Info,Unknown,Chaman,30.9222,66.4447,Baluchistan,southwestern border crossin between Afghanistan and Pakistan,Office Building,High,Open,None,Government Official,None,6.0,8.0,10.0,16,1.0,0 Kg,Unknown,24.42,75.956,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,Spin Tall region of Hangu,Residence,High,Open,A Compound of an anti-Taliban militia commander Mullah Nabi Hanafi was targetted by militants,Anti-Militants,None,15.0,17.0,22.0,22,1.0,0 Kg,Unknown,25.96,78.728,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,South waziristan,32.3202,69.8597,FATA,Wana-main town of South waziristan,Military,High,Open,Military Convoy,Military,None,2.0,2.0,2.0,2,1.0,0 Kg,Unknown,19.61,67.298,,,,2,1,-1
,Unknown,Holiday,Eid Holidays,Evening,D. I Khan,31.8238,70.9095,KPK,Tehsil Kulachi-50km away from D.I Khan,Residence,High,Open,KP Law Minister Israrullah Gandapur was targeted and killed in the attack,Civilian,None,8.0,9.0,30.0,30,1.0,0 Kg,Unknown,28.61,83.498,,,,4,1,-1
,Unknown,Holiday,Weekend,Unknown,Bannu,32.935,70.6688,KPK,Near River Kurram bridge,Mobile,High,Open,Targeted van of security forces ,Military,None,0.0,0.0,7.0,7,1.0,0 Kg,CMH Bannu,13.09,55.562,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,North waziristan,32.9746,70.1456,FATA,Mir Ali town of Miramshah,Park/Ground,High,Open,It is said that Bannu TTP Militant commander Saifuddin was the target,Anti-Militants,None,7.0,7.0,1.0,1,1.0,0 Kg,Unknown,12.545,54.581,,,,2,1,-1
,Unknown,Working Day,No Info,10:55 AM,Khyber Agency,34.0211,71.2874,KPK,Torkhan customs office in Landikotal,Office Building,Medium,Closed,None,Government Official,None,0.0,0.0,26.0,26,1.0,5kg,Hayatabad Medical Complex-Peshawar,15.985,60.773,,,,4,1,-1
,Unknown,Working Day,No Info,Evening,Rawalpindi,33.6058,73.0437,Punjab,Gracy line area near Airport,Religious,Medium,Open,Sectarian strife,Civilian,Shiite,3.0,3.0,14.0,0,1.0,0 Kg,Benazir Bhutto Hospital and District Headquarters Hospital,14.39,57.902,,,,2,1,-1
,Unknown,Working Day,No Info,Evening,North waziristan,32.9746,70.1456,FATA,Kharoji checkpoint-about three kilometres east of Miranshah,Military,High,Open,Targeted security checkpoint as a revenge for killing Hakimullah Mahsud,Military,None,5.0,5.0,25.0,34,1.0,0 Kg,Unknown,8.19,46.742,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Karachi,24.9918,66.9911,Sindh,Pakhtoon Chowk close to Old Sabzi Mandi-Karachi,Market,Medium,Open,Inspector Shafiq Tanoli was targeted,Police,None,2.0,2.0,20.0,21,1.0,0 Kg,Jinnah Hospital,18.735,65.723,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Qambrani Road in Akhtarabad-on the outskirts of Quetta,Transport,High,Open,Sectarian strife,Civilian,Shiite,2.0,3.0,30.0,31,1.0,0 Kg,Bolan Medical Complex,1.605,34.889,,,,4,1,-1
